Fecha;Badlar;CER;UVA
01/02/2023;69,8125;77,29933904;194,89
02/02/2023;69,1875;77,42347185;195,21
03/02/2023;69,5;77,54780401;195,52
04/02/2023;;77,67233583;195,83
05/02/2023;;77,79706763;195,83
06/02/2023;70,0625;77,92199974;195,83
07/02/2023;69,3125;78,04713247;196,78
08/02/2023;69,5;78,17246614;197,09
09/02/2023;69,875;78,29800109;197,41
10/02/2023;70,25;78,42373763;197,73
11/02/2023;;78,54967609;198,05
12/02/2023;;78,67581678;198,05
13/02/2023;70,8125;78,80216005;198,05
14/02/2023;69,4375;78,9287062;199
15/02/2023;69,6875;79,05545557;199,32
16/02/2023;69,75;79,22014384;199,64
17/02/2023;69,6875;79,38517519;200,06
18/02/2023;;79,55055033;200,47
19/02/2023;;79,71626998;200,47
20/02/2023;;79,88233485;200,47
21/02/2023;;80,04874568;200,47
22/02/2023;70,5;80,21550317;200,47
23/02/2023;69,375;80,38260804;202,57
24/02/2023;70,0625;80,55006104;202,99
25/02/2023;;80,71786287;203,42
26/02/2023;;80,88601426;203,42
27/02/2023;69,75;81,05451595;203,42
28/02/2023;69,375;81,22336866;204,69
01/03/2023;70,3125;81,39257312;205,12
